Key,Content
user_sign_reset_context,"Sayın Komutan,

Kişisel İmzanızın, yasaklı veya hassas içeriklere ilişkin Oyun Kurallarımızın ihlali nedeniyle sıfırlandığını bilgilerinize sunarız.

Sağlıklı ve dostane bir oyun ortamını sürdürmek amacıyla, tüm oyunculardan imzalarını küresel topluluğumuza saygılı ve uygun tutmalarını rica ediyoruz. Tekrarlanan ihlaller, hesabınızın özelliklerine ek kısıtlamalar getirilmesine neden olabilir.
Politikalarımız ve ilgili talepler hakkında daha fazla bilgi için <color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color> adresini ziyaret edebilirsiniz.

Anlayışınız ve iş birliğiniz için teşekkür ederiz.

— War Inc: Rising Destek Ekibi"
user_face_reset_context,"Sevgili Komutan,

Sistemimiz, Profil Resminizin Oyun Kurallarımızı ve Hizmet Şartlarımızı ihlal ettiğini tespit etmiştir. Sonuç olarak, avatarınız varsayılan ayarlara sıfırlanmıştır.

Tüm oyuncular için samimi, saygılı ve güvenli bir ortam sağlamak için çalışıyoruz. Lütfen gelecekteki yüklemelerinizin topluluk kurallarımıza uygun olduğundan emin olun. Politikalarımız ve ilgili talepler hakkında daha fazla bilgi için <color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color> adresini kontrol edin.

War Inc: Rising'i herkes için olumlu bir deneyim olarak sürdürme konusundaki işbirliğiniz için teşekkür ederiz.

— War Inc: Rising Destek Ekibi"
refine_title_short,
overworld_season_ended_msg,"Şimdilik bu kadar! Bir dahaki sefere görüşürüz!"
clan_war_slg_reward_info,"Klan Savaşları'nda, kişisel ve klan sıralaması ödüllerine ek olarak, Klan Başkanı tarafından atanabilen özel ödüller bulunmaktadır.

Bu ödüller, klanın şerefini temsil eder ve en layık görülenlere verilecektir.

Kurallar:

1. Her Üye, en fazla 1 ödül Sandığı alabilir.

2. Zamanında atanmazsa, ödüller kişisel Sıralamaya göre otomatik olarak dağıtılacaktır.

3. Ödül içerikleri, yalnızca klanın nihai Sıralamasına bağlıdır."
win_add_peakleague_score_msg,"Maksimum skor Önizlemesi. Nihai skor, savunmacıya verilen hasara göre belirlenir."
switch_preview_btn,Değiştir
upgrades_confirm_dialog_msg,"Birleştirme Sv.{0} {1}?"
gameplay_search_result_title,"Arama Sonuçları"
gameplay_search_title,"Oynanış Arama"
upgrades_confirm_dialog_cost_tips,"Birliği yükseltmek için <color=#ffe300>{0}</color> {1} harcansın mı?"
defense_area_desc_1104,"Tüm Savunmacı Birlikler Kaçınma Şansı kazanır, Ahşap Direnci azalır"
defense_area_desc_1103,"Savunmacı Toprak Birliği Hasarı arttırıldı, Rüzgar Direnci azaltıldı"
defense_area_desc_1100,"Savunucu Savaşçı Sld.'si arttı, Tank Tüm Direnci arttı"
defense_area_desc_1101,"Savunmacı Birlik Maksimum HP arttırıldı, Ateş Direnci arttırıldı"
defense_area_desc_1102,"Tüm Savunmacı Birlikler Tüm DİRENÇ kazanır, Sld. azaltılır"
clan_hunt_slg_invalid_army,
clan_hunt_slg_return_main,
clan_hunt_slg_cup_title,
clan_hunt_slg_rule_tips,
clan_hunt_slg_prepare_tips,
clan_hunt_slg_rank_tips,
clan_hunt_slg_reward_title,
clan_hunt_slg_reward_info,
clan_hunt_slg_top_clan_rank_title,
clan_hunt_slg_top_clan_rank_rule_tips,
clan_hunt_slg_boss_rank_rule_tips,
clan_hunt_slg_register_desc,
clan_hunt_slg_register_tips,
clan_hunt_slg_watch_title,
clan_hunt_slg_chat_prefix_5,
clan_hunt_slg_chat_prefix_7,
clan_hunt_slg_watch_not_op,
clan_hunt_slg_watch_players,
clan_hunt_slg_room_name,
clan_hunt_slg_tile_train,
faction_progress_title,
total_score,
clan_hunt_slg_pin_limit,
clan_hunt_slg_end_title,
clan_hunt_slg_no_army,
peak_league_rule_desc,"Zirve Ligi'ne Hoş Geldiniz!

Yüksek <color=#EC6D26>Arena sıralamalarına</color> ulaşan Komutanlar Zirve Ligi'ne katılmaya hak kazanır.

  Zirve Ligi, <color=#EC6D26>Arena Sezonu</color> ile birlikte açılır.
  Sezonun ilk 7 günü <color=#EC6D26>Kayıt Aşaması</color>'dır. Hak kazanan oyuncular <color=#EC6D26>otomatik olarak kaydedilir</color> ve istedikleri zaman kayıtlarını iptal edebilirler.
  Son 7 gün ise <color=#EC6D26>Savaş Aşaması</color>'dır. Diğer komutanlara meydan okuyun ve daha fazla Taç için yarışın!

Saldırı Kuralları:
  1. Ligdeki Komutanlar her gün <color=#EC6D26>8 meydan okuma hakkı</color> alır.
  2. Lütfen eşleştirmeden önce dizilişinizi onaylayın. Eşleşme bulunduktan sonra Askerler <color=#EC6D26>değiştirilemez</color>.
  3. Eşleştirme başarılı olduktan sonra, savaş <color=#EC6D26>180 saniye</color> içinde başlamalıdır. Başlatılamayan veya savaş ortasında terk edilen maçlar mağlubiyet sayılır.
  4. Mağlubiyetler <color=#EC6D26>hiçbir</color> puan vermez ve <color=#EC6D26>hiçbir</color> puan düşürmez.
  5. Savaş puanları <color=#EC6D26>İmha Oranınıza</color> göre hesaplanır. Yüksek İmha Oranları daha fazla puan kazandırır!

Savunma Kuralları:
  1. Savunmacılar, <color=#EC6D26>3 savunma bölgesini</color> korumak için 3 savunma dizilişi kurmalıdır.
  2. Her savunma bölgesinin, yalnızca savunmacılar için geçerli <color=#EC6D26>benzersiz bir etkisi</color> vardır.
  3. Saldırganlar, eşleştirme sırasında 3 savunma dizilişinden 1'i ile <color=#EC6D26>rastgele karşılaşır</color>."
league_sign_up_cancel_registration_desc,"[color=#EC6D26]Kaydı iptal et[/color]? Maç başlamadan önce tekrar kayıt olabilirsiniz."
emoji_name_1027,"Barbar Tiran: Tek Pençe!"
notification_title_9,"Klan Bahsi"
emoji_name_1028,"Melodi Dokuyucu: Ritmi Bırak!"
emoji_name_1029,"Ateş Gücü Öncüsü: Hedef Kilitlendi!"
emoji_name_1030,"Grifon Şövalyesi: Uğramak!"
emoji_name_1031,"Ripple Büyücüsü: Bölgedeyiz!"
unit_skill_name_1617_1_tag,8s
emoji_name_1032,"Karanlık Ay Kraliçesi: Spotlight on!"
light_dark_pack_title_2,"Açık Cilt Paketi"
light_dark_pack_title_4,"Koyu Ten Paketi"
light_dark_pack_desc_2,"Işıkla kuşanarak karanlığı süpürüp götür!"
light_dark_pack_desc_4,"Gece çöker—ışığı yut!"
rank_index_4,4th
team_err_620,"Takım dolu"
battle_strategy_title,Taktikler
emoji_name_1006,"Alev Düellocusu: Geri çekilin!"
emoji_name_1009,"Savaş Tanrıçası: Affedilemez!"
camp_season_faction_left_2,"Işık Arayan"
emoji_name_1010,"Savaş Tanrıçası: Bayıldım!"
camp_season_faction_right_2,Nekromanser
emoji_name_1011,"Savaş Tanrıçası: Buraya gelin!"
chatBubble_frame_name_18,"Hafif Kenar"
chatBubble_frame_name_19,"Nekro İstilası"
emoji_name_1025,"Jeomancer: Zafer Kazanıldı!"
emoji_name_1026,"Sisli Okçular: Aralık Onaylandı!"
unit_skill_name_1603_1_tag,8s
task_context_250001,"<color=#EC6D26>{0}</color> gün giriş yapın"
unit_skin_name_73401,"Dokuz Kuyruklu Tilki"
unit_skin_name_73601,"Melodi Dokuyucu"
unit_skin_name_73801,"Ripple Büyücüsü"
unit_skin_name_73501,"Orman Muhafızı"
unit_skill_name_1604_1_tag,5s
unit_skill_name_1601_1_tag,5s
unit_skill_name_1602_1_tag,8s
unit_skin_name_73901,"Öfke Topçusu"
unit_skill_name_1605_1_tag,8s
unit_skin_name_74001,"Ateş Gücü Öncüsü"
unit_skill_name_1606_1_tag,5s
unit_skill_name_1607_1_tag,5s
unit_skill_name_1608_1_tag,5s
unit_skin_name_74101,"Sisli Okçular"
overworld_tile_level_3,Lv.3
unit_skill_name_1609_1_tag,5s
unit_skill_name_1610_1_tag,8s
unit_skin_name_74201,"Orman Korucusu"
unit_skin_name_74301,"Barbar Tiran"
unit_skin_name_74401,"Alev Düellocusu"
unit_skin_name_74501,"Gece Varisi"
unit_skin_name_74601,"Savaş Tanrıçası"
unit_skin_name_74801,"Venospore Katili"
unit_skin_name_74901,"Şövalye Kral"
unit_skin_name_76201,"Parlak Savaşçı"
unit_skin_name_77801,Serafim
unit_skin_name_84501,"Dalga Lordu"
unit_skin_name_84601,"Ateş Kralı"
rank_index_1,1st
unit_skin_name_84701,"Kızıl Kılıç"
rank_index_2,2nd
rank_index_3,3rd
task_context_210008,"Binaları <color=#EC6D26>{0}</color> kez yükseltin"
task_context_210009,"Macerada <color=#EC6D26>{0}</color> kez 3 Yıldız Kazan"
unit_skin_name_63701,"Grifon Şövalyesi"
task_context_210010,"Yapıdan <color=#EC6D26>{0}</color> Mücevher alındı"
unit_skin_name_63801,Jeomancer
task_context_210011,"Bina yaparak <color=#EC6D26>{0}</color> Madeni Para kazanın"
unit_skin_name_70301,"Buz Kraliçesi"
task_context_210012,"Bina yapımından <color=#EC6D26>{0}</color> Ahşap al."
unit_skin_name_70401,"Fırtına Bakiresi"
unit_skin_name_70501,"Alevkanadı Lordu"
unit_skin_name_71201,"Dünyanın Kılıcı"
unit_skin_name_71101,"Kemik Nişancısı"
unit_skin_name_70601,"Yıldız Işığı Havari"
unit_skin_name_70801,"Karanlık Ay Kraliçesi"
unit_sort_attr_31,Sınıf
unit_sort_attr_37,Kalite
task_context_240010,"Yapıdan <color=#EC6D26>{0}</color> Mücevher alındı"
task_context_240011,"Bina yaparak <color=#EC6D26>{0}</color> Madeni Para kazanın"
task_context_240012,"Bina yapımından <color=#EC6D26>{0}</color> Ahşap al."
task_context_100012,"<color=#EC6D26>{0}</color> Efsanevi Birliği <color=#EC6D26>Sv.6</color>'ya yükselt"
chat_font_setting_title,"Yazı Tipi Boyutu Sohbeti"
task_context_210001,"<color=#EC6D26>{0}</color> gün giriş yapın"
overworld_tile_level_1,Lv.1
task_context_250002,"<color=#EC6D26>{0}</color> Ganimet Sandıklarını Aç"
task_context_210002,"Mistik birlikleri <color=#EC6D26>{0}</color> kez yükselt"
overworld_tile_level_2,Lv.2
application_place_holder,"Bir mesaj girin"
task_context_250003,"Herhangi bir birlik <color=#EC6D26>{0}</color> kez elde et"
overworld_tile_level_4,Lv.4
task_context_210003,"PVP'de <color=#EC6D26>{0}</color> Kupa Kazanın"
overworld_tile_level_5,Lv.5
overworld_tile_level_6,Lv.6
task_context_100002,"<color=#EC6D26>{0}</color> Yeşil Enerji harca"
overworld_tile_level_7,Lv.7
overworld_tile_level_11,"Cryo & Ember"
task_context_100001,"<color=#EC6D26>{0}</color> Altın Harca"
task_context_250004,"Herhangi bir birliği <color=#EC6D26>{0}</color> kez yükselt."
task_context_90011,"PVP'de <color=#EC6D26>{0}</color> Kupa Kazanın"
task_context_90012,"Herhangi bir birlik <color=#EC6D26>{0}</color> kez elde et"
task_context_210004,"Co-op Modunda 40. Dalgayı toplam <color=#EC6D26>{0}</color> kez geç"
task_context_100003,"<color=#EC6D26>{0}</color> Şanslı Zaman'ı Birlik Alımında Açın."
task_context_100004,"<color=#EC6D26>{0}</color> Yağma Sandıklarını Aç"
task_context_100005,"Birleşim ile <color=#EC6D26>{0}</color> Nadir birlik elde et"
task_context_100006,"Birleşim ile <color=#EC6D26>{0}</color> Epik birlik elde et"
task_context_100007,"Birleşim ile <color=#EC6D26>{0}</color> Efsanevi birlik elde et"
task_context_100008,"Birleşim ile <color=#EC6D26>{0}</color> Mistik Birlik elde et"
task_context_100009,"<color=#EC6D26>{0}</color> Genel Birlikleri <color=#EC6D26>Lv6</color>'ya Yükselt"
task_context_100010,"<color=#EC6D26>{0}</color> Nadir Birliklerini <color=#EC6D26>Seviye 6</color>'ya Yükselt"
task_context_100011,"<color=#EC6D26>{0}</color> Epik Birliklerinizi <color=#EC6D26>Seviye 6</color>'ya Yükseltin"
task_context_250005,"Macera Modu, Ortak Mod veya Alan'da <color=#EC6D26>{0}</color> Düşman Yen"
task_context_210005,"<color=#EC6D26>{0}</color> Yeşil Enerji harca"
gameplay_tag_desc_4,PVE
res_name_457,"Savaş Bileti Hediyesi"
task_context_250006,"<color=#EC6D26>{0}</color> Şanslı Zaman'ı Birlik Alımında Açın."
task_context_210006,"<color=#EC6D26>{0}</color> Arena Savaşı Kazan"
res_name_357,"Savaş Bileti Hediyesi"
task_context_240001,"<color=#EC6D26>{0}</color> gün giriş yapın"
task_context_210007,"Arenada Şifa Büyüsü <color=#EC6D26>{0}</color> kez kullan"
task_context_240002,"Mistik birlikleri <color=#EC6D26>{0}</color> kez yükselt"
task_context_240003,"PVP'de <color=#EC6D26>{0}</color> Kupa Kazanın"
task_context_240004,"Co-op Modunda 40. Dalgayı toplam <color=#EC6D26>{0}</color> kez geç"
task_context_240005,"<color=#EC6D26>{0}</color> Yeşil Enerji harca"
task_context_240006,"<color=#EC6D26>{0}</color> Arena Savaşı Kazan"
task_context_200001,"<color=#EC6D26>{0}</color> gün giriş yapın"
task_context_200002,"<color=#EC6D26>{0}</color> Ganimet Sandıklarını Aç"
task_context_200003,"Herhangi bir birlik <color=#EC6D26>{0}</color> kez elde et"
task_context_200004,"Herhangi bir birliği <color=#EC6D26>{0}</color> kez yükselt."
task_context_200005,"Macera Modu, Ortak Mod veya Alan'da <color=#EC6D26>{0}</color> Düşman Yen"
task_context_200006,"<color=#EC6D26>{0}</color> Şanslı Zaman'ı Birlik Alımında Açın."
task_context_240007,"Arenada Şifa Büyüsü <color=#EC6D26>{0}</color> kez kullan"
task_context_240008,"Binaları <color=#EC6D26>{0}</color> kez yükseltin"
task_context_240009,"Macerada <color=#EC6D26>{0}</color> kez 3 Yıldız Kazan"
task_context_90010,"Sonsuz Savaş'ı <color=#EC6D26>{0}</color> kez oyna"
task_context_64007,"Arena'da Işık Arayan veya Nekromanser kullanarak <color=#EC6D26>{0}</color> hasar verin."
task_context_54004,"Avcılık oyununu <color=#EC6D26>{0}</color> kez Işık Arayan veya Nekromanser ile oynayın."
task_group_title_22_0,"Fraksiyon Görevi"
task_context_54001,"<color=#EC6D26>{0}</color> hasar Işık Arayan veya Nekromanser kullanılarak gider"
task_context_64008,"Avlanmada Işık Arayan veya Nekromanser kullanarak <color=#EC6D26>{0}</color> hasar verin."
task_context_54002,"Macera Modunu <color=#EC6D26>{0}</color> kez Işık Arayan veya Nekromanser ile oynayın"
task_context_54003,"Arena oyununu <color=#EC6D26>{0}</color> kez Işık Arayan veya Nekromanser ile oynayın."
game_mode_name_33,"Günlük Tahmin"
task_context_54005,"Işık Arayan veya Nekromanser ile Infinite War'ı <color=#EC6D26>{0}</color> kez oynayın."
task_context_80002,"Toplamda <color=#EC6D26>{0}</color> Elmas harca"
task_context_64006,"Macera Modunda Işık Arayan veya Nekromanser kullanarak <color=#EC6D26>{0}</color> hasar verin."
task_context_54010,"<color=#EC6D26>{0}</color> Günlük Tahminine Katıl"
task_context_54011,"Günlük Tahmin oyununda doğru tahmin et: <color=#EC6D26>{0}</color>"
task_context_64001,"<color=#EC6D26>{0}</color> hasar Işık Arayan veya Nekromanser kullanılarak gider"
task_context_64002,"Macera Modunu <color=#EC6D26>{0}</color> kez Işık Arayan veya Nekromanser ile oynayın"
task_context_64005,"Işık Arayan veya Nekromanser ile Infinite War'ı <color=#EC6D26>{0}</color> kez oynayın."
task_context_64003,"Arena oyununu <color=#EC6D26>{0}</color> kez Işık Arayan veya Nekromanser ile oynayın."
task_context_64004,"Avcılık oyununu <color=#EC6D26>{0}</color> kez Işık Arayan veya Nekromanser ile oynayın."
task_context_64009,"Infinite War'da Işık Arayan veya Nekromanser kullanarak <color=#EC6D26>{0}</color> hasar verin."
task_context_64010,"<color=#EC6D26>{0}</color> Günlük Tahminine Katıl"
task_context_64011,"Günlük Tahmin oyununda doğru tahmin et: <color=#EC6D26>{0}</color>"
gameplay_tag_desc_5,PVP
task_context_63019,"Günlük Tahmin oyununda doğru tahmin et: <color=#EC6D26>{0}</color>"
task_context_63018,"<color=#EC6D26>{0}</color> Günlük Tahminine Katıl"
task_context_63017,"<color=#EC6D26>{0}</color> Nekromanser elde edin"
task_context_53016,"<color=#EC6D26>{0}</color> Işık Arayan elde edin"
task_context_63016,"<color=#EC6D26>{0}</color> Nekromanser elde edin"
camp_season_buff_desc_1,"Ateş Kralı"
camp_season_buff_desc_2,"Dalga Lordu"
res_name_1154,"Ateş Kralı"
camp_season_buff_bubble_desc_1,"Ateş Kralı"
task_context_62009,"Günlük Tahmin oyununda doğru tahmin et: <color=#EC6D26>{0}</color>"
camp_season_buff_bubble_desc_2,"Dalga Lordu"
task_context_62008,"<color=#EC6D26>{0}</color> Günlük Tahminine Katıl"
task_context_53017,"<color=#EC6D26>{0}</color> Işık Arayan elde edin"
task_context_53019,"Günlük Tahmin oyununda doğru tahmin et: <color=#EC6D26>{0}</color>"
task_context_53018,"<color=#EC6D26>{0}</color> Günlük Tahminine Katıl"
res_name_1254,"Dalga Lordu"
chatBubble_frame_access_13,"Noel Tarzı Paket I Özel"
chatBubble_frame_access_14,"Noel Tarzı Paket II Özel"
chatBubble_frame_access_12,"Ejderha Çatışması Sezon Bileti'ne özel."
lay_pref_title,Tercihler
deploy_btn,Diz
task_context_90001,"<color=#EC6D26>{0}</color> gün giriş yapın"
task_context_90002,"Yapıdan <color=#EC6D26>{0}</color> Mücevher alındı"
task_context_90003,"Bina yaparak <color=#EC6D26>{0}</color> Madeni Para kazanın"
task_context_90004,"Bina yapımından <color=#EC6D26>{0}</color> Ahşap al."
task_context_90005,"Macera Modu, Ortak Mod veya Alan'da <color=#EC6D26>{0}</color> Düşman Yen"
task_context_90006,"Eşli Modu <color=#EC6D26>{0}</color> kez oyna"
task_context_90007,"Macera Modunu <color=#EC6D26>{0}</color> kez oynayın"
task_context_90008,"PVP Savaşlarını <color=#EC6D26>{0}</color> kez oyna"
task_context_90009,"Avlanma görevini <color=#EC6D26>{0}</color> kez oyna"
task_context_13245,"Arena'da <color=#EC6D26>{0}</color> kez savaşmak için Kuşat kullan."
task_context_13252,"Macera'da Yaygın Birliklerle <color=#EC6D26>{0}</color> üzerinde hasar verin"
task_group_info_21,"Günlük çok aşamalı Fraksiyon Görevleri. Fraksiyonunuzla birlikte aşamaları tamamlayın ve puan kazanın!"
task_context_13246,"Arena'da <color=#EC6D26>{0}</color> kez savaşmak için Arkadan kullanın."
